most_ads_hour,users,conversions,conversion_rate,avg_ads,conversion_rate_pct
0,5536,102,0.01842485549132948,22.778901734104046,1.8424855491329482
1,4802,62,0.012911286963765098,25.179925031236984,1.2911286963765098
2,5333,39,0.007312957059816239,24.770110631914495,0.7312957059816239
3,2679,28,0.010451661067562523,22.730869727510264,1.0451661067562523
4,722,11,0.015235457063711912,33.41274238227147,1.5235457063711912
5,765,16,0.02091503267973856,43.64836601307189,2.091503267973856
6,2068,46,0.022243713733075435,41.843326885880074,2.2243713733075436
7,6405,116,0.018110850897736144,31.215456674473067,1.8110850897736144
8,17627,344,0.019515515969819028,24.039655074601463,1.9515515969819028
9,31004,595,0.019191072119726486,23.486840407689332,1.9191072119726487
10,38939,838,0.021520840288656615,25.251727060273762,2.1520840288656617
11,46210,1022,0.022116425016230252,24.902531919497942,2.2116425016230252
12,47298,1127,0.02382764598925959,26.116453126982112,2.382764598925959
13,47655,1176,0.024677368586717027,25.593851642010282,2.4677368586717026
14,45648,1281,0.028062565720294426,24.285532772520153,2.806256572029443
15,44683,1325,0.02965333572052011,25.359353669180674,2.965333572052011
16,37567,1156,0.030771687917587245,22.36848830090239,3.0771687917587243
17,34988,987,0.028209671887504287,24.250800274379788,2.8209671887504286
18,32323,885,0.027379884292918356,25.522600006187545,2.7379884292918355
19,30352,811,0.026719820769636266,25.522370848708487,2.6719820769636264
20,28923,862,0.029803270753379664,26.380942502506656,2.9803270753379665
21,29976,867,0.028923138510808646,25.55574459567654,2.8923138510808646
22,26432,690,0.026104721549636802,22.918205205811137,2.6104721549636802
23,20166,457,0.02266190617871665,20.197709015174055,2.2661906178716653
